participant_id,source_row,duration_seconds,finished,possible_duplicate_submission,stimulus_set,item_position_in_source_block,source_column_number,condition_code,polarity,continuation_type,response_text
P013,14,462,true,false,5,4,53,neg_manner,negative,manner,hıçkırarak
P013,14,462,true,false,5,5,54,aff_temporal,affirmative,temporal,süt
P013,14,462,true,false,5,6,55,neg_filler,negative,filler,Whatsapp'an düğünü ile ilgili mesaj
P013,14,462,true,false,5,7,56,neg_reduplication,negative,reduplication,hızlı bir şekilde
P013,14,462,true,false,5,8,57,aff_manner,affirmative,manner,karısı
P014,15,545,true,false,6,1,58,aff_temporal,affirmative,temporal,Ama ürünler
P014,15,545,true,false,6,2,59,neg_reduplication,negative,reduplication,Bağırarak
P014,15,545,true,false,6,3,60,aff_filler,affirmative,filler,Ama en önemli faturaları
P014,15,545,true,false,6,4,61,aff_manner,affirmative,manner,Ama onu düşünen arkadaşı
P014,15,545,true,false,6,5,62,neg_temporal,negative,temporal,Soba üzerinde hızla
P014,15,545,true,false,6,6,63,neg_filler,negative,filler,Ama arkadaşına
P014,15,545,true,false,6,7,64,aff_reduplication,affirmative,reduplication,Ama suda
P014,15,545,true,false,6,8,65,neg_manner,negative,manner,Rüya aleminde
P015,16,156,true,false,1,1,18,neg_reduplication,negative,reduplication,iskele
P015,16,156,true,false,1,2,19,aff_manner,affirmative,manner,bağırarak
P015,16,156,true,false,1,3,20,neg_filler,negative,filler,et
P015,16,156,true,false,1,4,21,neg_temporal,negative,temporal,bugün
P015,16,156,true,false,1,5,22,aff_reduplication,affirmative,reduplication,az
P015,16,156,true,false,1,6,23,aff_filler,affirmative,filler,atıştırmalıkları
P015,16,156,true,false,1,7,24,neg_manner,negative,manner,yavaşça
P015,16,156,true,false,1,8,25,aff_temporal,affirmative,temporal,akşam
P016,17,187,true,false,3,1,34,neg_manner,negative,manner,Aralıklı
P016,17,187,true,false,3,2,35,aff_temporal,affirmative,temporal,Ders sırasında
P016,17,187,true,false,3,3,36,aff_filler,affirmative,filler,Yenileri
P016,17,187,true,false,3,4,37,neg_reduplication,negative,reduplication,Salya sümük
P016,17,187,true,false,3,5,38,aff_manner,affirmative,manner,Çayda
P016,17,187,true,false,3,6,39,neg_filler,negative,filler,Halası
P016,17,187,true,false,3,7,40,neg_temporal,negative,temporal,Işık yansıması
P016,17,187,true,false,3,8,41,aff_reduplication,affirmative,reduplication,Ama çocuklar
P017,18,325,true,false,3,1,34,neg_manner,negative,manner,kıyıya yaklaşınca
P017,18,325,true,false,3,2,35,aff_temporal,affirmative,temporal,ders esnasında hiç
P017,18,325,true,false,3,3,36,aff_filler,affirmative,filler,yeni dosyaları
P017,18,325,true,false,3,4,37,neg_reduplication,negative,reduplication,okul çıkışı annesini görünce
P017,18,325,true,false,3,5,38,aff_manner,affirmative,manner,su ısıtıcıda
P017,18,325,true,false,3,6,39,neg_filler,negative,filler,iş arkadaşlarına
P017,18,325,true,false,3,7,40,neg_temporal,negative,temporal,gündüz asfaltta
P017,18,325,true,false,3,8,41,aff_reduplication,affirmative,reduplication,hastanede yatarken
P018,19,730,true,false,2,1,26,aff_reduplication,affirmative,reduplication,"Tekne denizin ortasında cayır cayır yandı, içindeki termos yanmadı."
P018,19,730,true,false,2,2,27,neg_manner,negative,manner,"Öğrenci sınıfta sessizce konuşmadı, öğretmen konuştu."
P018,19,730,true,false,2,3,28,aff_filler,affirmative,filler,"Kasap sokaktaki kedilere yaş mamaları verdi, terzi vermedi."
P018,19,730,true,false,2,4,29,aff_temporal,affirmative,temporal,"Oğlan okulda dün ağladı, bugün ağlamadı."
P018,19,730,true,false,2,5,30,neg_reduplication,negative,reduplication,"Su ocakta fokur fokur kaynamadı, hafif kaynadı."
P018,19,730,true,false,2,6,31,neg_filler,negative,filler,"Bakkal raflara deterjanları yerleştirmedi, palete yerleştirdi."
P018,19,730,true,false,2,7,32,aff_manner,affirmative,manner,"At arabası toprak yolda hızlıca ilerledi, çamurda ilerlemedi."
P018,19,730,true,false,2,8,33,neg_temporal,negative,temporal,"Adam odasında sabah uyumadı, gece uyudu."
P019,20,172,true,false,6,1,58,aff_temporal,affirmative,temporal,içindekiler
P019,20,172,true,false,6,2,59,neg_reduplication,negative,reduplication,bağırarak
P019,20,172,true,false,6,3,60,aff_filler,affirmative,filler,yenileri
P019,20,172,true,false,6,4,61,aff_manner,affirmative,manner,evde
P019,20,172,true,false,6,5,62,neg_temporal,negative,temporal,şimdi
P019,20,172,true,false,6,6,63,neg_filler,negative,filler,başkasına
P019,20,172,true,false,6,7,64,aff_reduplication,affirmative,reduplication,araba
P019,20,172,true,false,6,8,65,neg_manner,negative,manner,sessizce
P020,21,264,true,false,5,1,50,neg_temporal,negative,temporal,Orman
P020,21,264,true,false,5,2,51,aff_reduplication,affirmative,reduplication,Öğretmen
P020,21,264,true,false,5,3,52,aff_filler,affirmative,filler,Yenileri
P020,21,264,true,false,5,4,53,neg_manner,negative,manner,Annesi
P020,21,264,true,false,5,5,54,aff_temporal,affirmative,temporal,Yemek
